path	last_modified	lines	category	referenced	action
.beads/README.md	2026-02-22	81	KEEP	no	keep
AGENTS.md	2026-02-21	336	KEEP	yes	keep
README.md	2026-02-13	17	KEEP	yes	keep
SCAFFOLDING.md	2026-02-03	18	KEEP	yes	keep
ai-memory/context.md	2026-02-14	16	KEEP	yes	keep
ai-memory/insights.md	2026-02-22	473	KEEP	yes	keep
ai-memory/project.md	2026-02-14	90	KEEP	yes	keep
ai-memory/todo.md	2026-02-22	7	CONVERT	yes	archive
claude.md	2026-02-03	425	KEEP	yes	keep
docs/archive/2026-02/ai-memory/todo.md	2026-02-22	95	ARCHIVE	yes	archive
docs/archive/2026-02/cleanup-report.md	2026-02-22	53	ARCHIVE	yes	archive
docs/archive/2026-02/goals/build_app.md	2026-02-22	308	ARCHIVE	yes	archive
docs/archive/2026-02/goals/manifest.md	2026-02-22	11	ARCHIVE	yes	archive
docs/archive/2026-02/governance/execution/dev-directives/TASK-006-execution-plan.md	2026-02-22	119	ARCHIVE	yes	archive
docs/archive/2026-02/governance/execution/dev-directives/TASK-010-execution-plan.md	2026-02-22	46	ARCHIVE	yes	archive
docs/archive/2026-02/governance/execution/dev-directives/TASK-015-execution-plan.md	2026-02-22	132	ARCHIVE	yes	archive
docs/archive/2026-02/governance/execution/dev-directives/TASK-020-execution-plan.md	2026-02-22	53	ARCHIVE	yes	archive
docs/archive/2026-02/governance/execution/dev-directives/process-debt-drift-audit-2026-02-22.md	2026-02-22	66	ARCHIVE	yes	archive
docs/archive/2026-02/governance/execution/done-log.md	2026-02-22	10	ARCHIVE	yes	archive
docs/archive/2026-02/governance/execution/task-queue.md	2026-02-22	10	ARCHIVE	yes	archive
docs/archive/2026-02/governance/planning/archive/beads-migration-2026-02-23/backlog.md	2026-02-22	37	ARCHIVE	yes	archive
docs/archive/2026-02/governance/planning/archive/beads-migration-2026-02-23/migration-map.md	2026-02-22	18	ARCHIVE	yes	archive
docs/archive/2026-02/governance/planning/archive/beads-migration-2026-02-23/sprint-board.md	2026-02-22	38	ARCHIVE	yes	archive
docs/archive/2026-02/governance/planning/archive/beads-migration-2026-02-23/todo.md	2026-02-22	92	ARCHIVE	yes	archive
docs/archive/2026-02/governance/planning/backlog.md	2026-02-22	39	ARCHIVE	yes	archive
docs/archive/2026-02/governance/planning/sprint-board.md	2026-02-22	40	ARCHIVE	yes	archive
docs/archive/2026-02/progress.md	2026-02-22	26	ARCHIVE	yes	archive
docs/archive/README.md	2026-02-22	44	ARCHIVE	yes	archive
docs/asset-usage-audit.md	2026-02-20	70	KEEP	yes	keep
docs/backend/browser-backend-policy.md	2026-02-19	50	KEEP	yes	keep
goals/manifest.md	2026-02-03	7	KEEP	yes	keep
governance/audit/adversarial-ledger.md	2026-02-19	329	KEEP	yes	keep
governance/audit/regression-history.md	2026-02-18	17	KEEP	yes	keep
governance/audit/reports/2026-Layout-Harness-Conformance-Report.md	2026-02-15	2084	KEEP	no	keep
governance/execution/dev-directives/ACTIVE.md	2026-02-22	50	KEEP	yes	keep
governance/execution/dev-directives/TASK-015-execution-plan.md	2026-02-21	7	KEEP	yes	keep
governance/execution/dev-directives/TASK-019-execution-plan.md	2026-02-22	132	KEEP	yes	keep
governance/execution/dev-directives/TASK-020-execution-plan.md	2026-02-22	7	KEEP	yes	keep
governance/execution/dev-directives/archive/2026-02/TASK-003-execution-plan.md	2026-02-21	61	KEEP	no	keep
governance/execution/dev-directives/archive/2026-02/TASK-004-execution-plan.md	2026-02-21	50	KEEP	no	keep
governance/execution/dev-directives/archive/2026-02/TASK-005-execution-plan.md	2026-02-21	68	KEEP	no	keep
governance/execution/dev-directives/archive/2026-02/TASK-007-execution-plan.md	2026-02-21	41	KEEP	no	keep
governance/execution/dev-directives/archive/2026-02/TASK-008-execution-plan.md	2026-02-21	95	KEEP	no	keep
governance/execution/dev-directives/archive/2026-02/TASK-009-execution-plan.md	2026-02-21	103	KEEP	no	keep
governance/execution/dev-directives/archive/2026-02/TASK-011-execution-plan.md	2026-02-21	89	KEEP	no	keep
governance/execution/dev-directives/archive/2026-02/TASK-012-execution-plan.md	2026-02-21	30	KEEP	no	keep
governance/execution/dev-directives/archive/2026-02/TASK-013-execution-plan.md	2026-02-21	29	KEEP	no	keep
governance/execution/dev-directives/archive/2026-02/TASK-014-execution-plan.md	2026-02-21	42	KEEP	no	keep
governance/execution/dev-directives/process-debt-drift-audit-2026-02-22.md	2026-02-22	7	KEEP	yes	keep
governance/execution/remediation-log.md	2026-02-18	45	KEEP	yes	keep
governance/metrics/delivery-velocity.md	2026-02-15	0	KEEP	yes	keep
governance/metrics/stability-metrics.md	2026-02-19	27	KEEP	yes	keep
governance/planning/backlog.md	2026-02-20	7	CONVERT	yes	archive
governance/planning/browser-automation-backend-contract.md	2026-02-19	40	KEEP	yes	keep
